image_path,label,manipulation_type,case_id,suspicious_region,split
authentic/SD_00000_authentic.jpg,authentic,none,SD_00000,,validation
manipulated/SD_00000_text_change.jpg,manipulated,text_change,SD_00000,"[205, 150, 650, 173]",validation
authentic/SD_00001_authentic.jpg,authentic,none,SD_00001,,train
manipulated/SD_00001_photo_change.jpg,manipulated,photo_change,SD_00001,"[45, 100, 165, 250]",train
authentic/SD_00002_authentic.jpg,authentic,none,SD_00002,,train
manipulated/SD_00002_number_change.jpg,manipulated,number_change,SD_00002,"[205, 188, 650, 211]",train
authentic/SD_00003_authentic.jpg,authentic,none,SD_00003,,validation
manipulated/SD_00003_date_change.jpg,manipulated,date_change,SD_00003,"[205, 264, 650, 287]",validation
authentic/SD_00004_authentic.jpg,authentic,none,SD_00004,,train
manipulated/SD_00004_copy_paste.jpg,manipulated,copy_paste,SD_00004,"[205, 140, 500, 175]",train
authentic/SD_00005_authentic.jpg,authentic,none,SD_00005,,train
manipulated/SD_00005_clone.jpg,manipulated,clone,SD_00005,"[430, 270, 580, 305]",train
authentic/SD_00006_authentic.jpg,authentic,none,SD_00006,,test
manipulated/SD_00006_compression.jpg,manipulated,compression,SD_00006,"[0, 0, 700, 455]",test
authentic/SD_00007_authentic.jpg,authentic,none,SD_00007,,validation
manipulated/SD_00007_mixed.jpg,manipulated,mixed,SD_00007,"[45, 100, 650, 250]",validation
authentic/SD_00008_authentic.jpg,authentic,none,SD_00008,,train
manipulated/SD_00008_text_change.jpg,manipulated,text_change,SD_00008,"[205, 150, 650, 173]",train
authentic/SD_00009_authentic.jpg,authentic,none,SD_00009,,train
manipulated/SD_00009_photo_change.jpg,manipulated,photo_change,SD_00009,"[45, 100, 165, 250]",train
authentic/SD_00010_authentic.jpg,authentic,none,SD_00010,,train
manipulated/SD_00010_number_change.jpg,manipulated,number_change,SD_00010,"[205, 188, 650, 211]",train
authentic/SD_00011_authentic.jpg,authentic,none,SD_00011,,validation
manipulated/SD_00011_date_change.jpg,manipulated,date_change,SD_00011,"[205, 264, 650, 287]",validation
authentic/SD_00012_authentic.jpg,authentic,none,SD_00012,,train
manipulated/SD_00012_copy_paste.jpg,manipulated,copy_paste,SD_00012,"[205, 140, 500, 175]",train
authentic/SD_00013_authentic.jpg,authentic,none,SD_00013,,train
manipulated/SD_00013_clone.jpg,manipulated,clone,SD_00013,"[430, 270, 580, 305]",train
authentic/SD_00014_authentic.jpg,authentic,none,SD_00014,,train
manipulated/SD_00014_compression.jpg,manipulated,compression,SD_00014,"[0, 0, 700, 455]",train
authentic/SD_00015_authentic.jpg,authentic,none,SD_00015,,train
manipulated/SD_00015_mixed.jpg,manipulated,mixed,SD_00015,"[45, 100, 650, 250]",train
authentic/SD_00016_authentic.jpg,authentic,none,SD_00016,,train
manipulated/SD_00016_text_change.jpg,manipulated,text_change,SD_00016,"[205, 150, 650, 173]",train
authentic/SD_00017_authentic.jpg,authentic,none,SD_00017,,train
manipulated/SD_00017_photo_change.jpg,manipulated,photo_change,SD_00017,"[45, 100, 165, 250]",train
authentic/SD_00018_authentic.jpg,authentic,none,SD_00018,,train
manipulated/SD_00018_number_change.jpg,manipulated,number_change,SD_00018,"[205, 188, 650, 211]",train
authentic/SD_00019_authentic.jpg,authentic,none,SD_00019,,validation
manipulated/SD_00019_date_change.jpg,manipulated,date_change,SD_00019,"[205, 264, 650, 287]",validation
authentic/SD_00020_authentic.jpg,authentic,none,SD_00020,,train
manipulated/SD_00020_copy_paste.jpg,manipulated,copy_paste,SD_00020,"[205, 140, 500, 175]",train
authentic/SD_00021_authentic.jpg,authentic,none,SD_00021,,validation
manipulated/SD_00021_clone.jpg,manipulated,clone,SD_00021,"[430, 270, 580, 305]",validation
authentic/SD_00022_authentic.jpg,authentic,none,SD_00022,,train
manipulated/SD_00022_compression.jpg,manipulated,compression,SD_00022,"[0, 0, 700, 455]",train
authentic/SD_00023_authentic.jpg,authentic,none,SD_00023,,train
manipulated/SD_00023_mixed.jpg,manipulated,mixed,SD_00023,"[45, 100, 650, 250]",train
authentic/SD_00024_authentic.jpg,authentic,none,SD_00024,,train
manipulated/SD_00024_text_change.jpg,manipulated,text_change,SD_00024,"[205, 150, 650, 173]",train
authentic/SD_00025_authentic.jpg,authentic,none,SD_00025,,test
manipulated/SD_00025_photo_change.jpg,manipulated,photo_change,SD_00025,"[45, 100, 165, 250]",test
authentic/SD_00026_authentic.jpg,authentic,none,SD_00026,,train
manipulated/SD_00026_number_change.jpg,manipulated,number_change,SD_00026,"[205, 188, 650, 211]",train
authentic/SD_00027_authentic.jpg,authentic,none,SD_00027,,test
